Image Number,Gate,Start/Restar the game,The joy of the players,yellow card,Red Card,Ball,Stadium View,referee Image,Penalty Image,Free Kick,Generic Moment
6962,1,0,0,0,0,1,0,1,0,1,0
6963,1,0,0,0,0,1,0,1,0,1,0
6994,1,0,0,0,0,1,1,0,0,0,0
6995,1,0,0,0,0,0,1,0,0,0,0
7133,1,0,0,0,0,0,0,0,0,1,0
7134,1,0,0,0,0,0,0,0,0,1,0
7135,0,0,0,0,0,0,0,0,0,1,0
7136,1,0,0,0,0,0,0,0,0,1,0
7141,1,0,0,0,0,0,0,0,0,1,0
7324,1,0,0,0,0,1,0,0,0,1,0
7325,1,0,0,0,0,1,0,0,0,1,0
7326,0,0,0,0,0,0,0,1,0,1,0
7327,1,0,0,0,0,1,0,1,0,1,0
7328,1,0,0,0,0,1,0,1,0,1,0
7329,1,0,0,0,0,1,0,0,0,1,0
7330,1,0,0,0,0,1,0,0,0,1,0
7331,1,0,0,0,0,1,0,0,0,1,0
7332,1,0,0,0,0,0,0,0,0,1,0
7333,1,0,0,0,0,0,0,1,0,1,0
7361,0,0,0,1,0,0,0,0,0,0,0
7440,0,0,0,1,0,0,0,1,0,0,0
7568,0,0,0,1,0,0,0,1,0,0,0
7571,0,1,0,0,0,1,0,0,0,0,0
7578,0,0,0,1,0,0,0,0,0,0,0
7589,1,0,0,0,0,1,0,1,0,1,0
7590,1,0,0,0,0,1,0,1,0,1,0
7595,1,0,0,0,0,1,0,1,0,1,0
7596,1,0,0,0,0,1,0,1,0,1,0
7597,1,0,0,0,0,1,0,1,0,1,0
7598,1,0,0,0,0,1,0,1,0,1,0
7599,1,0,0,0,0,1,0,1,0,1,0
7600,1,0,0,0,0,0,0,1,0,1,0
7682,0,1,0,0,0,0,0,0,0,0,0
7785,0,0,0,0,0,0,1,0,0,0,0
7786,0,0,0,0,0,0,1,0,0,0,0
7787,0,0,0,0,0,0,1,0,0,0,0
7793,0,1,0,0,0,0,0,0,0,0,0
7800,0,0,0,0,0,0,1,0,0,0,0
7801,0,0,0,0,0,0,1,0,0,0,0
7904,1,1,0,0,0,0,0,0,0,0,0
7998,1,0,0,0,0,0,1,0,0,0,0
8001,1,1,0,0,0,1,0,0,0,0,0
8015,1,1,0,0,0,1,0,0,0,0,0
8126,1,1,0,0,0,1,0,0,0,0,0
8237,1,1,0,0,0,1,0,0,0,0,0
8406,0,0,0,1,0,0,0,0,0,0,0
8427,0,0,0,1,0,0,0,0,0,0,0
8442,0,0,0,1,0,0,0,1,0,0,0
8462,0,0,0,1,0,0,0,0,0,0,0
8477,1,0,0,0,0,1,0,1,0,1,0
8487,1,0,0,0,0,1,0,0,0,1,0
8488,1,0,0,0,0,1,0,1,0,1,0
8489,1,0,0,0,0,1,0,0,0,1,0
8491,1,0,1,0,0,1,0,1,0,0,0
8494,0,0,1,0,0,0,0,0,0,0,0
8495,0,0,1,0,0,0,0,0,0,0,0
8498,0,0,1,0,0,0,0,0,0,0,0
8499,0,0,1,0,0,0,0,0,0,0,0
8500,0,0,1,0,0,0,0,0,0,0,0
8505,0,0,1,0,0,0,0,0,0,0,0
8506,0,0,1,0,0,0,0,0,0,0,0
8726,0,0,0,0,0,1,0,0,0,1,0
8728,0,0,0,0,0,1,0,0,0,1,0
8729,1,0,0,0,0,1,0,0,0,1,0
8730,1,0,0,0,0,1,0,0,0,1,0
8732,1,0,0,0,0,1,0,1,0,1,0
8733,1,0,0,0,0,0,0,1,0,1,0
8771,1,0,0,0,0,0,1,0,0,0,0
8827,0,0,0,0,0,0,1,0,0,0,0
8838,0,0,0,0,0,0,1,0,0,0,0
8849,0,0,0,0,0,0,1,0,0,0,0
8860,0,0,0,0,0,0,1,0,0,0,0
8878,0,0,1,0,0,0,0,0,0,0,0
8879,0,0,1,0,0,0,0,0,0,0,0
8880,0,0,1,0,0,0,0,0,0,0,0
8881,0,0,1,0,0,0,0,0,0,0,0
8899,0,0,1,0,0,0,0,0,0,0,0
8900,0,0,1,0,0,0,0,0,0,0,0
8901,0,0,1,0,0,0,0,0,0,0,0
8902,0,0,1,0,0,0,0,0,0,0,0
8931,0,0,1,0,0,0,0,0,0,0,0
8932,0,0,1,0,0,0,0,0,0,0,0
9006,0,0,0,1,0,0,0,1,0,0,0
9007,0,0,0,1,0,0,0,0,0,0,0
9026,1,0,0,0,0,0,0,1,0,1,0
9029,0,0,0,1,0,0,0,0,0,0,0
9041,1,0,0,0,0,1,0,1,0,1,0
9042,1,0,0,0,0,1,0,1,0,1,0
9043,1,0,0,0,0,1,0,1,0,1,0
9093,0,1,0,0,0,0,0,0,0,0,0
9104,0,1,0,0,0,1,0,0,0,0,0
9107,0,0,1,0,0,0,0,0,0,0,0
9108,0,0,1,0,0,0,0,0,0,0,0
9109,0,0,1,0,0,0,0,0,0,0,0
9110,0,0,1,0,0,0,0,0,0,0,0
9115,1,1,0,0,0,1,0,1,0,0,0
9127,1,1,0,0,0,1,0,1,0,0,0
9138,1,1,0,0,0,1,0,1,0,0,0
9149,1,1,0,0,0,1,0,0,0,0,0
9160,1,1,0,0,0,1,0,1,0,0,0
9171,0,1,0,0,0,0,0,1,0,0,0
9289,1,0,0,0,0,0,0,1,0,1,0
9290,1,0,0,0,0,0,0,1,0,1,0
9292,0,0,0,0,0,0,0,0,0,1,0
9298,1,0,0,0,0,1,0,1,0,1,0
9305,1,0,0,0,0,0,0,0,0,1,0
9440,0,0,1,0,0,0,0,0,0,0,0
9456,0,0,1,0,0,0,0,0,0,0,0
9457,0,0,1,0,0,0,0,0,0,0,0
9652,1,0,0,0,0,0,1,0,0,0,0
9653,1,0,0,0,0,0,1,0,0,0,0
9654,1,0,0,0,0,0,1,0,0,0,0
9716,0,0,0,0,0,0,1,0,0,0,0
9720,0,0,0,0,0,0,1,0,0,0,0
9721,0,0,0,0,0,0,1,0,0,0,0
9722,0,0,0,0,0,0,1,0,0,0,0
9723,0,0,0,0,0,0,1,0,0,0,0
9724,0,0,0,0,0,0,1,0,0,0,0
9725,0,0,0,0,0,0,1,0,0,0,0
9738,1,0,0,0,0,0,1,0,0,0,0
9755,0,0,0,0,0,0,1,0,0,0,0
9805,0,0,0,1,0,0,0,1,0,0,0
9838,0,0,0,1,0,0,0,0,0,0,0
9846,0,0,0,0,0,0,1,0,0,0,0
9890,0,0,0,0,0,0,0,0,0,1,0
9891,1,0,0,0,0,1,0,0,0,1,0
9892,1,0,0,0,0,1,0,0,0,1,0
10061,1,0,0,0,0,1,0,0,0,1,0
10062,1,0,0,0,0,1,0,0,0,1,0
10063,1,0,0,0,0,1,0,0,0,1,0
10064,1,0,0,0,0,1,0,0,0,1,0
10065,1,0,0,0,0,1,0,0,0,1,0
10197,1,0,0,0,0,0,0,1,0,1,0
10327,1,0,1,0,0,1,0,0,0,0,0
10328,0,0,1,0,0,0,0,0,0,0,0
10329,1,0,1,0,0,0,0,0,0,0,0
10330,1,0,1,0,0,0,0,0,0,0,0
10331,1,0,1,0,0,0,0,0,0,0,0
10332,1,0,1,0,0,0,0,0,0,0,0
10333,1,0,1,0,0,0,0,0,0,0,0
10339,0,0,1,0,0,0,0,0,0,0,0
10340,1,0,1,0,0,0,0,0,0,0,0
10341,0,0,1,0,0,0,0,0,0,0,0
10342,0,0,1,0,0,0,0,0,0,0,0
10362,0,0,1,0,0,0,0,0,0,0,0
10363,0,0,1,0,0,0,0,0,0,0,0
10364,0,0,1,0,0,0,0,0,0,0,0
10365,0,0,1,0,0,0,0,0,0,0,0
10366,0,0,1,0,0,0,0,0,0,0,0
10367,0,0,1,0,0,0,0,0,0,0,0
10368,0,0,1,0,0,0,0,0,0,0,0
10642,0,0,0,1,0,0,0,1,0,0,0
10643,0,0,0,1,0,0,0,1,0,0,0
10644,0,0,0,1,0,1,0,1,0,0,0
10655,0,0,0,1,0,0,0,0,0,0,0
10661,1,0,0,0,0,1,0,1,0,1,0
10667,1,0,0,0,0,1,0,0,0,1,0
10668,0,0,0,0,0,1,0,0,0,1,0
10682,1,0,0,0,0,1,0,1,0,1,0
10726,1,0,0,0,0,1,0,1,0,1,0
10737,1,0,0,0,0,1,0,1,0,1,0
10748,1,0,0,0,0,1,0,0,0,1,0
10754,1,0,0,0,0,0,0,0,0,1,0
10755,1,0,0,0,0,0,0,0,0,1,0
10756,1,0,0,0,0,1,0,0,0,1,0
10757,1,0,0,0,0,1,0,0,0,1,0
10759,1,0,0,0,0,1,0,0,0,1,0
10767,1,0,0,0,0,1,0,0,0,1,0
10770,1,0,0,0,0,1,0,1,0,1,0
10781,1,0,0,0,0,0,0,1,0,1,0
11064,0,0,1,0,0,0,0,0,0,0,0
11079,0,0,0,1,0,0,0,1,0,0,0
11091,0,0,0,1,0,0,0,0,0,0,0
11189,1,0,0,0,0,1,0,0,0,1,0
11190,1,0,0,0,0,1,0,0,0,1,0
11191,1,0,0,0,0,0,0,0,0,1,0
11413,0,0,0,0,0,0,1,0,0,0,0
11414,0,0,0,0,0,0,1,0,0,0,0
11416,0,0,0,0,0,0,1,0,0,0,0
11417,0,0,0,0,0,0,1,0,0,0,0
11447,0,0,0,0,0,0,1,0,0,0,0
11519,0,0,0,0,0,0,1,0,0,0,0
11520,0,0,0,0,0,0,1,0,0,0,0
11521,0,0,0,0,0,0,1,0,0,0,0
11522,0,0,0,0,0,0,1,0,0,0,0
11534,0,0,0,0,0,0,1,0,0,0,0
11535,0,0,0,0,0,0,1,0,0,0,0
11542,0,0,0,0,0,0,1,0,0,0,0
11543,0,0,0,0,0,0,1,0,0,0,0
11560,0,0,0,0,0,0,1,0,0,0,0
11588,0,0,0,0,0,0,1,0,0,0,0
11589,0,0,0,0,0,0,1,0,0,0,0
11590,0,0,0,0,0,0,1,0,0,0,0
11612,0,1,0,0,0,1,0,0,0,0,0
11613,0,1,0,0,0,1,0,0,0,0,0
11614,0,1,0,0,0,1,0,1,0,0,0
11629,0,1,0,0,0,1,0,0,0,0,0
11630,0,1,0,0,0,1,0,0,0,0,0
11631,0,1,0,0,0,1,0,0,0,0,0
11632,0,1,0,0,0,1,0,1,0,0,0
11633,0,1,0,0,0,1,0,1,0,0,0
11634,0,1,0,0,0,1,0,1,0,0,0
11635,0,1,0,0,0,1,0,1,0,0,0
11636,1,1,0,0,0,1,0,1,0,0,0
11638,1,1,0,0,0,1,0,1,0,0,0
11642,0,0,0,0,0,1,1,0,0,0,0
11838,0,0,0,1,0,0,0,1,0,0,0
11839,0,0,0,1,0,0,0,1,0,0,0
11840,0,0,0,1,0,0,0,1,0,0,0
11842,0,0,0,1,0,0,0,1,0,0,0
11844,0,0,0,1,0,0,0,1,0,0,0
11845,0,0,0,1,0,0,0,1,0,0,0
11846,0,0,0,1,0,0,0,1,0,0,0
11847,0,0,0,1,0,0,0,1,0,0,0
11944,1,0,0,0,0,1,0,0,0,1,0
11945,1,0,0,0,0,1,0,0,0,1,0
11947,1,0,0,0,0,1,0,1,0,1,0
12065,1,0,0,0,0,0,0,0,0,1,0
12066,1,0,0,0,0,0,0,0,0,1,0
12067,1,0,0,0,0,0,0,0,0,1,0
12068,1,0,0,0,0,0,0,0,0,1,0
12143,1,0,0,0,0,1,0,0,0,1,0
12144,1,0,0,0,0,1,0,0,0,1,0
12145,1,0,0,0,0,1,0,0,0,1,0
12146,1,0,0,0,0,1,0,0,0,1,0
12147,1,0,0,0,0,0,0,0,0,1,0
12209,0,0,0,0,0,1,0,0,0,1,0
12212,1,0,0,0,0,0,0,1,0,1,0
12213,1,0,0,0,0,0,0,1,0,1,0
12214,1,0,0,0,0,0,0,1,0,1,0
12258,1,0,0,0,0,1,0,1,0,1,0
12352,0,0,0,0,1,0,0,1,0,0,0
12353,0,0,0,0,1,0,0,1,0,0,0
12400,1,0,0,0,0,1,0,1,0,1,0
12404,1,0,0,0,0,0,0,0,0,1,0
12478,1,0,0,0,0,1,0,1,0,1,0
12479,1,0,0,0,0,1,0,1,0,1,0
12480,1,0,0,0,0,1,0,1,0,1,0
12481,1,0,0,0,0,1,0,1,0,1,0
12483,1,0,0,0,0,1,0,1,0,1,0
12484,1,0,0,0,0,1,0,1,0,1,0
12485,1,0,0,0,0,1,0,1,0,1,0
12486,1,0,0,0,0,1,0,1,0,1,0
12487,1,0,0,0,0,1,0,1,0,1,0
12488,1,0,0,0,0,1,0,1,0,1,0
12489,1,0,0,0,0,1,0,1,0,1,0
12638,0,0,0,0,0,1,0,1,0,1,0
12639,0,0,0,0,0,1,0,1,0,1,0
12640,0,0,0,0,0,1,0,1,0,1,0
12641,0,0,0,0,0,1,0,1,0,1,0
12642,0,0,0,0,0,1,0,1,0,1,0
12836,1,0,0,0,0,0,0,0,0,1,0
12838,1,0,0,0,0,1,0,0,0,1,0
12839,1,0,0,0,0,1,0,0,0,1,0
12840,1,0,0,0,0,1,0,0,0,1,0
13028,0,0,1,0,0,0,0,0,0,0,0
13029,0,0,1,0,0,0,0,0,0,0,0
13030,0,0,1,0,0,0,0,0,0,0,0
13031,0,0,1,0,0,0,0,0,0,0,0
13032,0,0,0,0,0,0,1,0,0,0,0
13033,0,0,1,0,0,0,0,0,0,0,0
13036,0,0,1,0,0,0,0,0,0,0,0
13038,0,0,1,0,0,0,0,0,0,0,0
13039,0,0,1,0,0,0,0,0,0,0,0
13043,0,0,1,0,0,0,0,0,0,0,0
13063,0,0,1,0,0,0,0,0,0,0,0
13064,0,0,1,0,0,0,0,0,0,0,0
13065,0,0,1,0,0,0,0,0,0,0,0
13066,0,0,1,0,0,0,0,0,0,0,0
13155,0,0,1,0,0,0,0,0,0,0,0
13156,0,0,1,0,0,0,0,0,0,0,0
13157,0,0,1,0,0,0,0,0,0,0,0
